time (sec),angular position (rad),angular speed (rad/s),angular acceleration (rad/s^2),torque (Nm),driving torque (Nm),load torque (Nm),pwm
0.0,0.0,0.0,608.7270690152109,0.007142203932327389,0.01,0.0028577960676726107,1
0.5,152.18176725380272,304.36353450760544,443.5829510504616,0.005204565491775145,0.008062361559447756,0.0028577960676726107,1
1.0,415.2592722702208,526.1550100328362,323.2414730315195,0.003792597105155722,0.0066503931728283325,0.0028577960676726107,1
1.5,759.1471455445189,687.775746548596,235.54793898221857,0.002763687540250284,0.005621483607922895,0.0028577960676726107,1
2.0,1161.9220035643716,805.5497160397052,171.645151342819,0.002013915163767719,0.0048717112314403295,0.0028577960676726107,1
2.5,1607.6081494199288,891.3722917111147,125.07881880351906,0.0014675516778883968,0.004325347745561007,0.0028577960676726107,1
3.0,2084.5639999763657,953.9117011128742,91.14566179639453,0.0010694134321148857,0.003927209499787496,0.0028577960676726107,1
3.5,2584.3062659819016,999.4845320110716,66.41837318077556,0.000779287779789319,0.0036370838474619298,0.0028577960676726107,1
4.0,3100.653125282631,1032.6937186014593,48.39945433536012,0.0005678715317124676,0.0034256675993850783,0.0028577960676726107,1
4.5,3629.0998481672004,1056.8934457691394,35.26896350780582,0.0004138112837040069,0.0032716073513766176,0.0028577960676726107,1
5.0,4166.363811928722,1074.5279275230423,25.70069857184649,0.0003015466861041074,0.003159342753776718,0.0028577960676726107,1
5.5,4710.0529503332045,1087.3782768089654,18.728248334678952,0.00021973882173162497,0.003077534889404236,0.0028577960676726107,1
6.0,5258.424150821357,1096.742400976305,13.647383346599907,0.00016012495577329,0.003017921023445901,0.0028577960676726107,1
6.5,5810.207197146159,1103.5660926496048,9.944927517015737,0.00011668398537566249,0.002974480053048273,0.0028577960676726107,1
7.0,6364.476475350215,1108.538556408113,7.2469264478699476,8.502829791518751e-05,0.002942824365587798,0.0028577960676726107,1
7.5,6920.55748516624,1112.1620196320478,5.28087739714357,6.19606145871514e-05,0.002919756682259762,0.0028577960676726107,1
8.0,7477.958714331549,1114.8024583306194,3.848206033863943,4.5151059754798164e-05,0.002902947127427409,0.0028577960676726107,1
8.5,8036.321995005325,1116.7265613475515,2.8042100896105655,3.2901839508287176e-05,0.002890697907180898,0.0028577960676726107,1
9.0,8595.386328201503,1118.1286663923568,2.0434441808663086,2.397576156369441e-05,0.002881771829236305,0.0028577960676726107,1
9.5,9154.961522442898,1119.1503884827898,1.4890696441707405,1.7471276717349493e-05,0.00287526734438996,0.0028577960676726107,1
10.0,9714.908984095335,1119.8949233048752,1.0850936991343594,1.2731420827792217e-05,0.0028705274885004028,0.0028577960676726107,1
10.5,10275.127719172558,1120.4374701544425,0.7907140814469786,9.277460309089935e-06,0.002867073527981701,0.0028577960676726107,1
11.0,10835.544132770141,1120.832827195166,0.5761979441013,6.7605392163962995e-06,0.002864556606889007,0.0028577960676726107,1
11.5,11396.104595853747,1121.1209261672166,0.4198787887767764,4.926444196335478e-06,0.0028627225118689464,0.0028577960676726107,1
12.0,11956.770028634552,1121.3308655616047,0.30596811229451576,3.589928501670947e-06,0.0028613859961742817,0.0028577960676726107,1
12.5,12517.511953443427,1121.483849617752,0.22296074067889443,2.6160017516678738e-06,0.0028604120694242785,0.0028577960676726107,1
13.0,13078.309618437474,1121.5953299880914,0.16247278682499794,1.9062956717781354e-06,0.002859702363344389,0.0028577960676726107,1
13.5,13639.147901628225,1121.676566381504,0.11839486350061229,1.3891287289551357e-06,0.0028591851964015658,0.0028577960676726107,1
14.0,14200.015783534851,1121.7357638132542,0.08627502474283107,1.012266173700649e-06,0.0028588083338463113,0.0028577960676726107,1
14.5,14760.905234197664,1121.7789013256256,0.06286911166822255,7.376442406363815e-07,0.002858533711913247,0.0028577960676726107,1
15.0,15321.810402138395,1121.8103358814597,0.045813086854828655,5.375256428403752e-07,0.0028583335933154513,0.0028577960676726107,1
15.5,15882.727023350839,1121.8332424248872,0.03338426250149922,3.9169805821481776e-07,0.0028581877657308254,0.0028577960676726107,1
16.0,16443.65199062891,1121.8499345561381,0.024327306000887894,2.854326502412796e-07,0.002858081500322852,0.0028577960676726107,1
16.5,17004.583039733476,1121.8620982091384,0.017727449190874718,2.079964301997528e-07,0.0028580040641028102,0.0028577960676726107,1
17.0,17565.518520700338,1121.870961933734,0.012918095197233529,1.5156820685691131e-07,0.0028579476358794676,0.0028577960676726107,1
17.5,18126.45723119101,1121.8774209813325,0.009413491006390527,1.1044863273701467e-07,0.0028579065163053478,0.0028577960676726107,1
18.0,18687.398295054423,1121.8821277268357,0.006859665575702015,8.048456022935469e-08,0.00285787655223284,0.0028577960676726107,1
18.5,19248.341073834235,1121.8855575596235,0.0049986781501051274,5.8649566542445795e-08,0.002857854717239153,0.0028577960676726107,1
19.0,19809.28510228359,1121.8880568986988,0.0036425658033414116,4.273827981116085e-08,0.0028578388059524217,0.0028577960676726107,1
19.5,20370.230041374387,1121.8898781816006,0.0026543588590573364,3.1143632747809846e-08,0.0028578272113053585,0.0028577960676726107,1
20.0,20931.175644054907,1121.8912053610302,0.0019342467186934434,2.2694546083723565e-08,0.0028578187622186942,0.0028577960676726107,1
